蹤	踪
逾	踰
蹏	蹄
蹹	蹋
躧	蹝
迹	蹟
遭	蹧
躚	蹮
蹵	蹴
蹻	蹺
隮	躋
躛	躗
躳	躬
躲	躱
輭	軟
輩	軰
𨍳	軺
輙	輒
轕	輵
轝	輿
鎋	轄
辤	辞
辭	辞
辣	辢
辭	辤
辯	辨
辶	辵
邊	边
遷	迁
過	过
還	还
這	这
逮	迨
邇	迩
逃	迯
遞	逓
逷	逖
雍	邕
𪪝	邕
郤	郄
鄹	郰
鄉	郷
鄕	鄉
隣	鄰
鴆	酖
酬	酧
醻	酧
醻	酬
餟	醊
釒	金
鍼	針
銲	釬
鉛	鈆
鉤	鈎
銁	鈞
銕	鉄
鐵	鉄
鉗	鉆
鑽	鉆
𥓿	鉈
鋤	鉏
鐵	銕
鏥	銹
鏽	銹
鐫	鋑
鑴	鋑
鎚	錘
鍬	鍫
鐶	鍰
鐮	鎌
鏐	鎏
鎻	鎖
鏁	鎖
鑣	鏢
鏽	鏥
𠜎	鏾
鑴	鐫
鑒	鑑
鑽	鑚
门	門
閻	閆
鬧	閙
闗	関
關	関
𨶹	関
鬨	閧
關	闗
阝	阜
陡	阧
阸	阨
陽	阳
陰	阴
陁	陀
𨸬	陣
隂	陰
隠	隐
𡑞	隧
𡒃	隩
騭	隲
隸	隷
鵻	隼
鶽	隼
雋	隽
難	难
鴈	雁
𪪝	雍
鶵	雛
鳮	雞
鷄	雞
霶	雱
霢	霡
頮	靧
韌	靭
鞾	靴
鞉	鞀
鼗	鞀
鼗	鞉
鞵	鞋
𩋘	鞋
韒	鞘
鞹	鞟
鞧	鞦
韝	鞲
韤	韈
韮	韭
韻	韵
𩠑	頂
顧	頋
額	頟
頤	頣
顯	顕
𩔗	類
髗	顱
飇	颮
飠	食
餐	飡
饑	飢
飼	飤
饘	飦
饇	飫
餙	飾
餠	餅
饟	餉
餧	餒
餫	餛
饋	餽
𦟤	饈
馩	馚
驢	馿
駮	駁
𩢲	駛
騈	駢
騰	駦
騣	騌
驗	騐
騙	騗
驄	騘
驘	騾
𦽊	驊
𦙼	骴
鯁	骾
髙	高
鬅	髼
鬢	鬂
𩯭	鬓
鬦	鬥
鬪	鬥
鬬	鬥
鬭	鬥
鬬	鬪
鰩	魟
鯊	魦
鰌	魷
鯗	鮝
鯷	鮧
鱻	鮮
鱑	鰉
鰍	鰌
鱷	鰐
鼇	鰲
鼈	鱉
鱔	鱓
鷄	鳮
鵙	鴃
鸜	鴝
鷃	鴳
鵜	鴺
鵞	鵝
鶃	鶂
鸎	鶯
鹼	鹻
𥂁	鹽
麤	麄
麕	麇
麟	麐
麵	麪
麵	麫
麴	麯
麽	麼
黙	默
𪔂	鼎
鼔	鼓
𪖙	齁
龒	龍
龐	龎
涼	鿌
𣳨	𠂤
𠼮	𠱓
𠸺	𠱘
總	𢰾
𢸣	𢶑
𣁟	𣁚
糯	𥻟
臯	𦤎
蒞	𦲷
𧞪	𧙀
𨃟	𨃞
𨉉	𨈚
雝	𪪝
