聽	聼
聾	聾
肀	聿
四	肆
肋	肋
胳	肐
脵	股
肻	肯
郅	胝
脬	胞
臙	胭
胸	胷
腁	胼
脅	脇
髒	脏
朘	脧
腦	脳
膕	腘
膣	腟
膓	腸
臕	膘
髓	膸
臘	臈
髌	臏
髕	臏
臟	臓
臨	臨
舄	舃
舎	舍
鋪	舖
鋪	舗
館	舘
船	舡
船	舩
柁	舵
艊	舶
良	良
豔	艳
豔	艷
韭	艽
茜	芊
蓖	芘
蔽	芘
藝	芸
蒙	苎
菀	苑
若	若
莓	苺
菇	苽
菰	苽
菋	苿
茅	茆
荔	茘
茶	茶
莊	荘
萴	荝
萎	荽
蒲	莆
菟	莵
穫	获
蒓	莼
蔔	菔
蔽	菝
菱	菱
麻	菻
蔽	萆
萠	萌
蘀	萚
蕚	萼
落	落
葉	葉
蓋	葢
胡	葫
蔿	蒍
蓴	蒓
蓼	蓼
藏	蔵
蕋	蕊
蘂	蕊
蘊	蕴
薰	薫
藥	薬
萕	薺
蘊	藴
蘆	蘆
蘔	蘏
蘇	蘓
蘗	蘖
蘿	蘿
虜	虜
蝰	虺
蠁	蚃
螡	蚊
蟁	蚊
螢	蛍
蜖	蛔
鼄	蛛
鼅	蜘
蚋	蜹
霓	蜺
蠟	蝋
虱	蝨
胡	蝴
蠅	蝿
螳	螗
蜱	螵
螺	螺
蟆	蟇
蠎	蟒
蟹	蠏
蠹	蠧
衂	衄
行	行
亍	街
衛	衞
褎	袖
褲	袴
裂	裂
里	裏
裏	裏
裡	裏
里	裏
裙	裠
裵	裴
裸	裸
襃	褒
褴	褓
綯	褲
襴	襕
襤	襤
韈	襪
韤	襪
西	襾
覀	西
霸	覇
覼	覙
覺	覚
觀	観
覸	覵
覧	覽
覌	觀
觧	解
訁	言
讠	言
譌	訛
譯	訳
證	証
讋	詟
酬	詶
説	說
說	說
說	說
讀	読
諫	諌
論	論
譜	諩
謠	謡
哗	譁
讓	譲
謭	譾
讀	讀
讚	讃
谉	讅
讏	讆
諸	诸
謠	谣
謭	谫
豐	豊
艶	豔
豣	豜
貘	貊
皃	貌
質	貭
